slice,topic_id,count,top_words,l1,l2,l3,label_full,core_topic,periphery_topic,heterogeneous,coverage,ring_1_count,ring_2_count,ring_3_count
2023-H1,81,62,"[""зерновой"", ""зерновой сделка"", ""сделка"", ""продление"", ""оон"", ""удобрение"", ""экспорт"", ""черноморский"", ""продлить"", ""мид""]",Экономика,Международная торговля и логистика,Регулирование экспорта продовольствия,Экономика -> Международная торговля и логистика -> Регулирование экспорта продовольствия,Обсуждение условий и продления российским участием Черноморской зерновой инициативы при посредничестве ООН и Турции.,"Обсуждение условий выполнения российской части сделки, а также вопросов, связанных с внутренним регулированием экспорта зерна.",False,1.0,31,17,14
2023-H1,82,61,"[""меню"", ""ресторан"", ""блюдо"", ""попробовать"", ""завтрак"", ""заведение"", ""кухня"", ""десерт"", ""шоколад"", ""икра""]",Общество,Стиль жизни и досуг,Гастрономия и заведения общественного питания,Общество -> Стиль жизни и досуг -> Гастрономия и заведения общественного питания,В ядре обсуждаются открытия новых ресторанов и анонсы их обновленных меню с акцентом на конкретные блюда.,"На периферии обсуждаются открытия кафе, сравнение советской столовой с современными заведениями и обзоры отдельных ресторанов.",False,1.0,2,34,25
2023-H1,83,61,"[""чита"", ""забайкалье"", ""забайкальский"", ""новость сегодня"", ""калинин"", ""самый интересный"", ""новость самый"", ""интересный"", ""новость"", ""читинский""]",Общество,Региональные новости и события,Новости Забайкальского края и Читы,Общество -> Региональные новости и события -> Новости Забайкальского края и Читы,"Ядро кластера фокусируется на местных новостях Читы и Забайкалья, включая социальные вопросы (компенсации сиротам) и городские проблемы (транспорт, строительство).","Периферия затрагивает более широкий спектр региональных тем, включая финансирование районов, коррупционные дела и реакцию на проблемы ЖКХ со стороны федеральных чиновников.",False,0.95,21,32,8
2023-H1,84,61,"[""роль"", ""оскар"", ""фильм"", ""хороший"", ""актёр"", ""кино"", ""сериал"", ""актриса"", ""премия"", ""день рождение""]",Культура,Кино и театр,Профессиональная деятельность и юбилеи деятелей кино,Культура -> Кино и театр -> Профессиональная деятельность и юбилеи деятелей кино,"Ядро посвящено дням рождения известных западных актеров и их наградам, в частности «Оскару».","Периферия затрагивает дни рождения как советских, так и российских актеров, а также упоминает режиссеров и историю кинематографа.",False,1.0,2,31,28
2023-H1,85,60,"[""китай"", ""кнр"", ""пекин"", ""китайский"", ""цзиньпин"", ""кризис"", ""посол"", ""урегулирование"", ""кризис украина"", ""хуэй""]",Политика,Международные отношения,Позиция КНР в мировых конфликтах,Политика -> Международные отношения -> Позиция КНР в мировых конфликтах,Ядро сфокусировано на роли Китая в урегулировании кризиса на Украине и реакции Киева на посреднические усилия Пекина.,Периферия затрагивает заявления Китая по расследованию подрыва «Северных потоков» и критику визитов западных политиков в КНР.,False,0.95,24,26,10
2023-H1,86,60,"[""воробьёв"", ""школа"", ""андрей воробьёв"", ""поликлиника"", ""сад"", ""детский сад"", ""подмосковье"", ""московский область"", ""губернатор"", ""детский""]",Общество,Социальная инфраструктура и развитие территорий,Строительство и развитие социальных объектов в регионах,Общество -> Социальная инфраструктура и развитие территорий -> Строительство и развитие социальных объектов в регионах,"Губернатор Андрей Воробьёв контролирует строительство и развитие социальной инфраструктуры (школы, больницы) в Московской области.",Власти различных регионов занимаются строительством новых школ и улучшением качества жизни жителей через развитие инфраструктуры.,False,0.95,11,18,31
2023-H1,87,60,"[""мишустин"", ""самолёт"", ""михаил мишустин"", ""правительство"", ""михаил"", ""млрд"", ""госкорпорация"", ""запчасть"", ""млрд рубль"", ""санкция""]",Экономика,Государственное управление и регулирование,Финансовая и производственная политика Правительства,Экономика -> Государственное управление и регулирование -> Финансовая и производственная политика Правительства,"Михаил Мишустин отчитывается о работе правительства, включая использование средств ФНБ для поддержки производства.","Обсуждаются вопросы эксплуатации авиационной техники, включая российские и иностранные самолеты, а также разработка симуляторов.",True,0.9,5,30,25
2023-H1,88,59,"[""китай"", ""тайвань"", ""китайский"", ""сша"", ""кнр"", ""пекин"", ""шар"", ""блинкен"", ""госсекретарь"", ""вашингтон""]",Международные отношения,Дипломатические и военные инциденты,Напряженность между США и Китаем,Международные отношения -> Дипломатические и военные инциденты -> Напряженность между США и Китаем,Ядро кластера сфокусировано на инциденте с китайским аэростатом в воздушном пространстве США и реакции на него.,Периферия расширяет контекст до визитов американских политиков на Тайвань и общих заявлений США и Китая по вопросам взаимной критики и геополитического влияния.,False,0.93,13,26,20
2023-H1,89,59,"[""иноагент"", ""минюст"", ""реестр"", ""реестр иноагент"", ""иностранный агент"", ""признать иноагент"", ""признать"", ""агент"", ""варламов"", ""статус иноагент""]",Политика,Государственное регулирование и контроль,Присвоение статуса иностранного агента,Политика -> Государственное регулирование и контроль -> Присвоение статуса иностранного агента,"В ядре обсуждаются иски известных лиц (Слепаков, Варламов) к Минюсту РФ с требованием снять с них статус иноагента, а также внесение новых лиц в реестр.","На периферии рассматриваются ликвидация организаций, признанных иноагентами (например, «Сова», «Мемориал»), и составление протоколов на лиц за неуказание статуса иноагента.",False,1.0,20,24,15
2023-H1,90,58,"[""подорожать"", ""цена"", ""огурец"", ""лук"", ""продукт"", ""подешеветь"", ""овощ"", ""рост цена"", ""подорожание"", ""цена продукт""]",Экономика,Потребительские цены и инфляция,Изменение стоимости продовольственных товаров,Экономика -> Потребительские цены и инфляция -> Изменение стоимости продовольственных товаров,"Ядро кластера фокусируется на резком росте цен на отдельные виды овощей (лук, огурцы) и молочные продукты в регионах России.","Периферия затрагивает рост цен на бензин и общие еженедельные отчеты о подешевевших продуктах, включая огурцы.",False,0.95,13,25,20
2023-H1,91,58,"[""пробка"", ""затор"", ""балл"", ""шоссе"", ""улица"", ""красноармейский"", ""движение"", ""мост"", ""километр"", ""дорога""]",Общество,Транспорт и инфраструктура,Дорожное движение и заторы,Общество -> Транспорт и инфраструктура -> Дорожное движение и заторы,"Ядро описывает сильные транспортные заторы и пробки в Волгограде, оцениваемые в 8 баллов, вызванные, в том числе, ремонтом мостов.","Периферия затрагивает высокие оценки пробок в Нижнем Новгороде, упоминает аварийно-опасные участки в Ростове и проблемы с доступом к больнице в Красноармейском районе.",False,0.95,19,28,11
2023-H1,92,57,"[""рейс"", ""авиакомпания"", ""прямой"", ""перелёт"", ""прямой рейс"", ""летать"", ""аэропорт"", ""полёт"", ""быть выполняться"", ""выполняться""]",Экономика,Транспорт и логистика,Возобновление и развитие авиасообщения,Экономика -> Транспорт и логистика -> Возобновление и развитие авиасообщения,Возобновление прямых авиарейсов между Санкт-Петербургом и Шанхаем впервые с 2019 года.,Возобновление и расширение географии прямых международных и внутренних авиарейсов российских авиакомпаний в 2023 году.,False,0.95,1,38,18
2023-H1,93,57,"[""байден"", ""джо"", ""джо байден"", ""президент сша"", ""президент"", ""сша"", ""американский президент"", ""выступление"", ""сша джо"", ""американский лидер""]",Политика,Деятельность глав государств,Публичные выступления и имидж президента США,Политика -> Деятельность глав государств -> Публичные выступления и имидж президента США,"Ядро кластера фокусируется на инцидентах, связанных с замешательством, странным поведением и физическим состоянием президента США Джо Байдена во время публичных мероприятий.","Периферия затрагивает вопросы о физическом состоянии Байдена (падения), его ошибках в публичных заявлениях (называя Харрис президентом) и реакции на него мировых лидеров.",False,1.0,21,26,10
2023-H1,94,57,"[""прилепин"", ""захар"", ""захар прилепин"", ""писатель"", ""нижегородский"", ""нижегородский область"", ""покушение"", ""взрыв"", ""автомобиль"", ""подрыв""]",Происшествия,Нападения и покушения,Покушение на общественную фигуру,Происшествия -> Нападения и покушения -> Покушение на общественную фигуру,Ядро сфокусировано на факте выживания писателя Захара Прилепина после покушения и его медицинском состоянии.,"Периферия затрагивает квалификацию дела как теракта, признание подозреваемого в работе на украинские спецслужбы и сопутствующие новости о других писателях.",False,1.0,23,27,7
2023-H1,95,57,"[""рельс"", ""сойти"", ""поезд"", ""вагон"", ""грузовой"", ""крушение"", ""пассажирский"", ""столкновение"", ""произойти"", ""пассажирский поезд""]",Происшествия,Транспортные аварии,Крушения и сходы с рельсов,Происшествия -> Транспортные аварии -> Крушения и сходы с рельсов,Ядро сфокусировано на крупных международных крушениях пассажирских и грузовых поездов с большим количеством жертв.,"Периферия включает сходы вагонов, связанные с диверсиями (подрывы) в России, а также экологические последствия аварий и инциденты на других видах транспорта.",True,1.0,13,24,20
2023-H1,96,56,"[""розыгрыш"", ""победитель"", ""удача"", ""билет"", ""приз"", ""конкурс"", ""бот"", ""случайный"", ""нажать"", ""разыгрывать""]",Общество,Маркетинг и продвижение,Конкурсы и розыгрыши призов,Общество -> Маркетинг и продвижение -> Конкурсы и розыгрыши призов,В ядре кластера анонсируются и подводятся итоги розыгрышей с использованием автоматизированных ботов для определения победителей.,"На периферии обсуждаются итоги розыгрышей билетов, сертификатов и других товаров, а также упоминаются другие виды определения победителей (например, в рамках премий).",False,1.0,4,39,13
2023-H1,97,56,"[""гарри"", ""принц"", ""iii"", ""король"", ""карла"", ""королевский"", ""карл"", ""британский"", ""уильям"", ""церемония""]",Общество,Монархия и аристократия,События и персоналии британской королевской семьи,Общество -> Монархия и аристократия -> События и персоналии британской королевской семьи,Ядро сфокусировано на деталях коронации Карла III и приглашении принца Гарри.,"Периферия затрагивает личные конфликты внутри королевской семьи, финансовое состояние Карла III и реакцию мировых лидеров на коронацию.",False,1.0,11,12,33
2023-H1,98,56,"[""шойгу"", ""командующий"", ""сергей шойгу"", ""войско"", ""группировка"", ""министр оборона"", ""военный округ"", ""оборона"", ""минобороны"", ""министр""]",Безопасность,Военное руководство и управление,Деятельность Министерства обороны и высшего командования,Безопасность -> Военное руководство и управление -> Деятельность Министерства обороны и высшего командования,Ядро сфокусировано на визитах министра обороны Сергея Шойгу в зону проведения специальной военной операции и совещаниях с руководящим составом Вооруженных Сил РФ.,Периферия затрагивает кадровые назначения командующих военными округами и обсуждение модернизации отдельных видов вооружения.,False,0.95,22,17,17
2023-H1,99,55,"[""иерусалим"", ""израиль"", ""израильский"", ""ливан"", ""теракт"", ""стрельба"", ""иран"", ""удар"", ""полиция"", ""сектор""]",Безопасность,Военно-политическая напряженность,Конфликты на Ближнем Востоке,Безопасность -> Военно-политическая напряженность -> Конфликты на Ближнем Востоке,"Ядро сфокусировано на терактах и перестрелках с жертвами на территории Израиля, включая Иерусалим.","Периферия описывает последствия терактов (фото убийцы, вандализм на кладбище) и детализация стрелявшего в Иерусалиме.",False,0.95,12,28,15
2023-H1,100,55,"[""машина"", ""погоня"", ""угнать"", ""угонщик"", ""полицейский"", ""автомобиль"", ""иномарка"", ""задержать"", ""разбить"", ""пьяный""]",Происшествия,Правонарушения и криминал,Угоны и преследование транспортных средств,Происшествия -> Правонарушения и криминал -> Угоны и преследование транспортных средств,Сотрудники ДПС задержали нетрезвого угонщика по горячим следам.,"Включает случаи погонь за нарушителями на различных видах транспорта, в том числе с элементами курьезности или ДТП.",False,1.0,1,20,34
2023-H1,101,54,"[""вертолёт"", ""крушение"", ""мурманский"", ""упасть"", ""пилот"", ""посадка"", ""самолёт"", ""потерпеть крушение"", ""мурманский область"", ""потерпеть""]",Происшествия,Авиационные происшествия,Крушения и аварии воздушных судов,Происшествия -> Авиационные происшествия -> Крушения и аварии воздушных судов,"Ядро сфокусировано на крушениях и падениях легкомоторных самолетов и вертолетов в России, включая инциденты с гибелью пилотов.","Периферия описывает более широкий спектр авиационных инцидентов, включая жесткие посадки, столкновения вертолетов за рубежом и поисковые операции.",False,1.0,19,22,13
2023-H1,102,54,"[""книжный"", ""дневник"", ""петербургский дневник"", ""петербургский"", ""книга"", ""музей"", ""дворцовый"", ""салон"", ""петербург"", ""дворцовый площадь""]",Культура,Литература и книжные мероприятия,Городские книжные фестивали и события,Культура -> Литература и книжные мероприятия -> Городские книжные фестивали и события,"Ядро посвящено проведению Книжного салона и мероприятий, связанных с ним, в Санкт-Петербурге.","Периферия включает анонсы других культурных и краеведческих событий в Петербурге, а также отдаленные примеры музейных скидок и транспортных фестивалей.",False,0.9,3,24,27
2023-H1,103,53,"[""грузия"", ""тбилиси"", ""авиасообщение"", ""рейс"", ""авиакомпания"", ""визовый"", ""прямой"", ""грузинский"", ""прямой рейс"", ""возобновление""]",Экономика,Транспортное сообщение,Возобновление авиасообщения между странами,Экономика -> Транспортное сообщение -> Возобновление авиасообщения между странами,"Ядро сфокусировано на возобновлении прямого авиасообщения и отмене визового режима между Россией и Грузией, а также на старте полетов конкретных авиакомпаний.","Периферия затрагивает политическую реакцию на возобновление авиасообщения, ценообразование на билеты и запуск транзитных рейсов для россиян.",False,1.0,24,20,9
2023-H1,104,53,"[""михалков"", ""никита"", ""никита михалков"", ""режиссёр"", ""госпитализировать"", ""больница"", ""пневмония"", ""состояние"", ""врач"", ""николай""]",Общество,Здоровье и медицина,Госпитализация известных личностей,Общество -> Здоровье и медицина -> Госпитализация известных личностей,Ядро посвящено лечению известного российского режиссера Никиты Михалкова от пневмонии и состоянию его здоровья.,"Периферия затрагивает госпитализации и проблемы со здоровьем других известных деятелей культуры и искусства, включая певцов и других режиссеров.",False,0.95,10,23,20
2023-H1,105,53,"[""wildberries"", ""выдача"", ""заказ"", ""маркетплейс"", ""товар"", ""пункт"", ""возврат"", ""покупатель"", ""продавец"", ""забастовка""]",Экономика,Электронная коммерция и ритейл,Проблемы и регулирование работы маркетплейсов,Экономика -> Электронная коммерция и ритейл -> Проблемы и регулирование работы маркетплейсов,Ядро сфокусировано на переговорах Wildberries с партнерами ПВЗ и проверках прокуратуры в отношении соблюдения прав работников маркетплейса.,"Периферия затрагивает фактическое закрытие пунктов выдачи заказов в регионах и продажу товаров, связанных с частными военными структурами, на платформе.",False,1.0,20,26,7
2023-H1,106,52,"[""столтенберг"", ""нато"", ""альянс"", ""генсек"", ""генсек нато"", ""йенс столтенберг"", ""йенс"", ""нато йенс"", ""саммит"", ""украина""]",Безопасность,Международные военные союзы,Деятельность и расширение НАТО,Безопасность -> Международные военные союзы -> Деятельность и расширение НАТО,Генеральный секретарь НАТО Йенс Столтенберг обсуждает ускорение поставок вооружений и перспективы вступления Украины в Альянс.,Периферия фокусируется на поддержке Украины со стороны европейских городов и институтов (ЕС) на фоне её стремления к членству в ЕС.,False,0.95,17,21,14
2023-H1,107,52,"[""кндр"", ""корея"", ""ким"", ""ракета"", ""ким чен"", ""чен"", ""баллистический"", ""баллистический ракета"", ""южный корея"", ""южнокорейский""]",Безопасность,Военные технологии и испытания,Ракетные испытания в Восточной Азии,Безопасность -> Военные технологии и испытания -> Ракетные испытания в Восточной Азии,Ядро кластера сосредоточено на запусках баллистических ракет Северной Кореей и реакции на них Японии и Южной Кореи.,"Периферия описывает более широкий контекст: совместные учения Южной Кореи и США, а также внутренние вопросы КНДР, включая инструктаж сестры Ким Чен Ына по ядерному оружию.",False,0.95,14,22,16
2023-H1,108,51,"[""авиабилет"", ""турция"", ""цена"", ""россиянин"", ""отдых"", ""стоимость"", ""вырасти"", ""турист"", ""перелёт"", ""рост""]",Экономика,Туризм и путешествия,Рост цен на зарубежный отдых,Экономика -> Туризм и путешествия -> Рост цен на зарубежный отдых,Ядро кластера посвящено резкому росту цен на отдых и авиабилеты в Турцию для россиян.,Периферия затрагивает рост спроса россиян на отдых в Азии в целом и покупку ими недвижимости в Турции.,False,0.95,13,16,22
2023-H1,109,50,"[""память"", ""бессмертный"", ""бессмертный полк"", ""акция"", ""полк"", ""свеча"", ""зажечь"", ""великий отечественный"", ""день память"", ""отечественный война""]",Общество,Памятные и мемориальные мероприятия,"Мероприятия, связанные с Днем Победы и ВОВ","Общество -> Памятные и мемориальные мероприятия -> Мероприятия, связанные с Днем Победы и ВОВ",Ядро посвящено проведению всероссийских и международных памятных акций «Свеча памяти» и «Бессмертный полк» в честь Дня Победы и памяти жертв Великой Отечественной войны.,"Периферия включает как продолжение темы памяти (онлайн-акции, зажжение Вечного огня), так и смежные темы, такие как возвращение мобилизованных и поминовение жертв других локальных войн (Афганистан).",True,1.0,10,28,12
2023-H1,110,48,"[""счётчик"", ""прибор"", ""жкх"", ""норматив"", ""тариф"", ""платёжка"", ""оплата"", ""коммунальный"", ""жку"", ""замена""]",Экономика,Государственное регулирование,Тарифы и начисления в сфере ЖКХ,Экономика -> Государственное регулирование -> Тарифы и начисления в сфере ЖКХ,"Ядро сфокусировано на изменениях в законодательстве, тарифах и порядке начислений за жилищно-коммунальные услуги, включая вопросы оплаты и учёта потребления.",Периферия затрагивает вопросы оплаты общего имущества в коттеджных посёлках и отмены взносов за капремонт для части жильцов.,False,0.93,10,23,15
2023-H1,111,48,"[""брянский"", ""брянский область"", ""диверсант"", ""район брянский"", ""село"", ""богомаз"", ""украинский диверсант"", ""область"", ""фсб"", ""украинский""]",Безопасность,Военные действия и диверсии,Приграничные инциденты с ДРГ,Безопасность -> Военные действия и диверсии -> Приграничные инциденты с ДРГ,Ядро сфокусировано на вооруженном вторжении и боестолкновениях с украинскими диверсантами в Брянской области.,Периферия затрагивает комментарии губернатора Брянской области и опровержения информации о пострадавших в результате инцидентов в регионе.,False,1.0,25,17,6
2023-H1,112,48,"[""крымский мост"", ""мост"", ""крымский"", ""крым"", ""движение"", ""пролёт"", ""автомобильный"", ""хуснуллин"", ""железнодорожный"", ""восстановить""]",Происшествия,Инфраструктурные инциденты,Восстановление транспортных объектов,Происшествия -> Инфраструктурные инциденты -> Восстановление транспортных объектов,Ядро посвящено восстановлению движения (автомобильного и железнодорожного) по Крымскому мосту после повреждений.,"Периферия включает восстановление пролетов Крымского моста, но также упоминает восстановление движения на других федеральных трассах из-за погодных условий.",True,0.95,16,17,15
2023-H1,113,48,"[""метро"", ""станция"", ""собянин"", ""сергей собянин"", ""линия"", ""кольцевой"", ""мэр"", ""вокзал"", ""мэр москва"", ""кольцевой линия""]",Общество,Транспортная инфраструктура,Развитие метрополитена и рельсового транспорта,Общество -> Транспортная инфраструктура -> Развитие метрополитена и рельсового транспорта,"Ядро посвящено анонсам и срокам открытия новых станций и линий метро, МЦД, а также заявлениям мэра Москвы Сергея Собянина о развитии транспортной системы.","Периферия затрагивает открытие благоустроенной территории у метро и логистические улучшения, связанные с транспортом.",False,1.0,13,28,7
2023-H1,114,47,"[""цифровой"", ""банк"", ""рубль"", ""перевод"", ""банк россия"", ""наличный"", ""лимит"", ""центробанк"", ""кошелёк"", ""валюта""]",Экономика,Финансовые системы и инструменты,Цифровые валюты и банковские операции,Экономика -> Финансовые системы и инструменты -> Цифровые валюты и банковские операции,Ядро сфокусировано на запуске пилотного проекта цифрового рубля Центробанком России и разъяснении его функционала.,"Периферия затрагивает исторические аспекты обращения валюты, регистрацию новых банков и общие пояснения о реформе денежной системы.",False,0.95,14,17,16
2023-H1,115,47,"[""пожар"", ""частный дом"", ""погибнуть"", ""погибнуть пожар"", ""частный"", ""дом"", ""огонь"", ""ребёнок погибнуть"", ""ребёнок"", ""охватить""]",Происшествия,Пожары и их последствия,Гибель людей в результате пожаров в жилых строениях,Происшествия -> Пожары и их последствия -> Гибель людей в результате пожаров в жилых строениях,"В ядре кластера сообщается о трагических случаях гибели людей, включая детей, при пожарах в частных домах в различных регионах России.","На периферии рассматриваются отдельные случаи гибели людей на пожарах, в том числе в нежилых постройках (сарай) или с уточнением обстоятельств (например, госпитализация пострадавших).",False,1.0,12,27,8
2023-H1,116,46,"[""беспилотник"", ""воронеж"", ""упасть"", ""падение"", ""беспилотник упасть"", ""воронежский"", ""калужский область"", ""место падение"", ""бпнуть"", ""калужский""]",Безопасность,Чрезвычайные происшествия и инциденты,Обнаружение и падение беспилотных летательных аппаратов,Безопасность -> Чрезвычайные происшествия и инциденты -> Обнаружение и падение беспилотных летательных аппаратов,Ядро кластера посвящено обнаружению мест падения беспилотников (БПЛА) в Калужской области.,"Периферия описывает последствия падения беспилотников, включая повреждение гражданской инфраструктуры и введение режимов ЧС в Воронеже.",False,1.0,19,15,12
2023-H1,117,44,"[""отключить"", ""отключение"", ""вода"", ""горячий вода"", ""район волгоград"", ""адрес"", ""улица"", ""электричество"", ""остаться"", ""плановый""]",Общество,Жилищно-коммунальное хозяйство,Плановые отключения ресурсов,Общество -> Жилищно-коммунальное хозяйство -> Плановые отключения ресурсов,"Ядро посвящено плановым отключениям коммунальных ресурсов (воды, горячей воды, электричества) в различных районах Волгограда и Самары.",Периферия затрагивает завершение отопительного сезона и анонсы отключений электричества в Чите и Волжском.,False,0.96,16,20,8
2023-H1,118,43,"[""украинец"", ""русский"", ""украина"", ""украинский"", ""поляк"", ""переименовать"", ""памятник"", ""российский империя"", ""название"", ""флаг""]",Общество,Культурная и историческая политика,Спор о национальной идентичности и наследии,Общество -> Культурная и историческая политика -> Спор о национальной идентичности и наследии,"Ядро сфокусировано на попытках Украины дистанцироваться от российского/советского наследия, включая переименования и вымарывание фигур из истории.","Периферия затрагивает споры о языке, принадлежности культурных деятелей (Куинджи) и исторические трагедии, связанные с конфликтами.",False,0.95,0,15,28
2023-H1,119,43,"[""банк"", ""банковский"", ""кризис"", ""банкротство"", ""финансовый"", ""банковский система"", ""крах"", ""швейцарский"", ""обанкротиться"", ""сша""]",Экономика,Финансовые рынки и институты,Банковские кризисы и банкротства,Экономика -> Финансовые рынки и институты -> Банковские кризисы и банкротства,"Ядро сфокусировано на недавнем банкротстве крупных американских банков, таких как Silicon Valley Bank, и связанных с этим опасениях о системном финансовом кризисе в США.","Периферия обсуждает более широкий мировой экономический кризис, мнения экспертов о его причинах и возможных последствиях, включая упоминание российского банка в контексте общего упадка.",False,1.0,11,20,12
2023-H1,120,43,"[""пермь"", ""прикамье"", ""эфир"", ""пермский"", ""слушайте"", ""radiokp"", ""прямой эфир"", ""радио комсомольский"", ""пермский край"", ""ирина""]",Общество,Региональные медиа и коммуникации,Новости и эфиры регионального радиовещания,Общество -> Региональные медиа и коммуникации -> Новости и эфиры регионального радиовещания,"Ядро кластера сфокусировано на местных новостях Перми и Прикамья, транслируемых в рамках утренних шоу на радио «Комсомольская правда».","Периферия затрагивает разнообразные местные события в Перми, включая открытие заведений, работу горячих линий и общие региональные дайджесты.",False,1.0,25,15,3
2023-H1,121,43,"[""налоговый"", ""налог"", ""ндфл"", ""взнос"", ""минфин"", ""ставка"", ""сверхприбыль"", ""бизнес"", ""разовый"", ""платёж""]",Экономика,Финансы и налогообложение,Изменения в налоговом законодательстве и сборах,Экономика -> Финансы и налогообложение -> Изменения в налоговом законодательстве и сборах,"Ядро сфокусировано на обсуждении и внесении в Госдуму законопроектов, касающихся ставок НДФЛ для удалённых сотрудников и россиян, утративших налоговое резидентство.","Периферия затрагивает вопросы применения налоговых правил (ЕНС, сверки) и обсуждение потенциальных новых финансовых инструментов (ОФЗ) для населения.",False,1.0,22,13,8
2023-H1,122,42,"[""матч"", ""турнир"", ""партия"", ""даниил"", ""медведев"", ""финал"", ""корона"", ""теннисист"", ""новак"", ""россиянин""]",Спорт,Индивидуальные виды спорта,Теннис и шахматы: крупные турниры и матчи,Спорт -> Индивидуальные виды спорта -> Теннис и шахматы: крупные турниры и матчи,Ядро сфокусировано на успехах российских спортсменов (теннисиста Даниила Медведева и шахматиста Яна Непомнящего) в финальных стадиях крупных международных соревнований.,Периферия освещает победы Новака Джоковича на турнирах Большого шлема и неудачи Даниила Медведева на Australian Open.,False,0.95,9,17,16
2023-H1,123,42,"[""наркотик"", ""задержать"", ""изъять"", ""вещество"", ""грамм"", ""сбыт"", ""партия"", ""закладка"", ""килограмм"", ""поймать""]",Безопасность,Правонарушения и борьба с ними,Незаконный оборот наркотических средств,Безопасность -> Правонарушения и борьба с ними -> Незаконный оборот наркотических средств,"Ядро кластера посвящено задержаниям лиц, связанных с хранением, сбытом и изъятием крупных партий наркотических веществ.","Периферия описывает задержания наркодилеров, включая тех, кто занимался сбытом через интернет или выращиванием запрещенных растений.",False,1.0,0,22,20
