type,topic_B,topic_A,cosine,jaccard,words_B,words_A
Merged,99,"[157, 176]",0.8310326337814331,0.0,"[""волчанск"", ""вооружённый сила"", ""всу"", ""марочко"", ""направление""]","[""балицкий"", ""владимир рогов"", ""вместе россия"", ""движение вместе"", ""запорожский""]"
Stable,210,158,0.9316673278808594,0.3333333333333333,"[""верховный рада"", ""владимир зеленский"", ""зеленский"", ""конституция"", ""легитимность""]","[""бункер"", ""владимир"", ""владимир зеленский"", ""зеленский"", ""зюганов""]"
Merged,113,"[160, 194]",0.9050108194351196,0.3333333333333333,"[""год семья"", ""гтрк"", ""гтрк самара"", ""маяк"", ""проект""]","[""время ждать"", ""год вместе"", ""гтрк"", ""гтрк самара"", ""день открытый""]"
Stable,97,167,0.9737735390663147,0.25,"[""балл"", ""буря"", ""вспышка"", ""земля"", ""магнитный""]","[""балл"", ""буря"", ""возмущение"", ""давление"", ""достигнуть""]"
Stable,47,169,0.8050756454467773,0.05263157894736842,"[""александр"", ""александр беглов"", ""беглов"", ""город"", ""губернатор""]","[""международный"", ""международный экономический"", ""петербургский"", ""петербургский дневник"", ""петербургский международный""]"
Stable,130,170,0.9609949588775635,0.42857142857142855,"[""блокада"", ""блокада ленинград"", ""блокадный"", ""блокадный ленинград"", ""выставка""]","[""блокада"", ""блокада ленинград"", ""блокадный"", ""ленинград"", ""освобождение""]"
Stable,93,180,0.7936462759971619,0.0,"[""бокс"", ""завоевать"", ""категория"", ""медаль"", ""первенство""]","[""анна"", ""вселенная"", ""конкурс"", ""корона"", ""обладательница""]"
Stable,36,182,0.9565249681472778,0.17647058823529413,"[""аккаунт"", ""аферист"", ""деньга"", ""жертва"", ""злоумышленник""]","[""банк"", ""втб"", ""злоумышленник"", ""карта"", ""клиент""]"
Merged,143,"[185, 218]",0.910863995552063,0.17647058823529413,"[""вонь"", ""выброс"", ""жаловаться"", ""контейнер"", ""мусор""]","[""волгоград"", ""волгоградец"", ""краснооктябрьский"", ""краснооктябрьский район"", ""мусор""]"
Stable,87,186,0.7641078233718872,0.0,"[""владимир путин"", ""заявить путин"", ""киев"", ""конфликт"", ""легитимность""]","[""весь русь"", ""кирилл"", ""московский весь"", ""патриарх"", ""патриарх московский""]"
Stable,237,187,0.7523233890533447,0.05263157894736842,"[""безопасный интернет"", ""глава лига"", ""екатерина мизулин"", ""интернет"", ""лига безопасный""]","[""воздушный тревога"", ""ложный"", ""прозвучать"", ""радио"", ""радиостанция""]"
Stable,162,188,0.9405139088630676,0.25,"[""ботанический"", ""ботанический сад"", ""весна"", ""полюбоваться"", ""сад""]","[""длина"", ""липа"", ""полюбоваться"", ""растение"", ""расцвести""]"
Merged,158,"[190, 200]",0.8965374231338501,0.17647058823529413,"[""вашингтон"", ""вооружение"", ""космический"", ""космос"", ""оружие""]","[""баллистический ракета"", ""вашингтон"", ""вооружение"", ""диалог"", ""договор""]"
Stable,167,191,0.9024088382720947,0.3333333333333333,"[""альянс"", ""венгрия"", ""вступление"", ""вступление нато"", ""заявка""]","[""альянс"", ""анкара"", ""вступить нато"", ""вступление"", ""вступление нато""]"
Stable,225,195,0.8800080418586731,0.17647058823529413,"[""the"", ""британия"", ""британский"", ""выборы"", ""консерватор""]","[""британец"", ""британский"", ""великобритания"", ""врач"", ""забастовка""]"
Stable,106,196,0.8393329977989197,0.0,"[""валерий"", ""валерий залужный"", ""владимир зеленский"", ""главком"", ""главком всу""]","[""гур"", ""интервью"", ""киев"", ""кирилл"", ""контрнаступление""]"
Stable,139,199,0.8464735150337219,0.17647058823529413,"[""больница"", ""выпасть"", ""выпасть окно"", ""девочка"", ""мальчик""]","[""аттракцион"", ""больница"", ""голова"", ""зажать"", ""мальчик""]"
Stable,220,202,0.979887843132019,0.0,"[""аборт"", ""бабочка"", ""внешне"", ""двойник"", ""друг""]","[""кислота"", ""март"", ""март год"", ""поведение"", ""секс""]"
Stable,135,204,0.7031610012054443,0.05263157894736842,"[""бензин"", ""дизельный"", ""дизельный топливо"", ""копейка"", ""литр""]","[""баррель"", ""биржа"", ""впервые"", ""лондонский"", ""марка""]"
Merged,54,"[206, 210]",0.9239411950111389,0.3333333333333333,"[""app store"", ""telegram"", ""мессенджер"", ""пользователь"", ""приложение""]","[""пользователь"", ""проблема"", ""работа"", ""сбой"", ""сбой работа""]"
Stable,226,212,0.8515491485595703,0.17647058823529413,"[""беспилотник"", ""бпнуть самолётный"", ""курский"", ""курский область"", ""область сбить""]","[""губернатор"", ""курский"", ""курский область"", ""обстрел"", ""обстрел сторона""]"
Stable,183,213,0.9342021346092224,0.17647058823529413,"[""вечерний"", ""вечерний москва"", ""гололедица"", ""москва"", ""москвич""]","[""вечерний"", ""вечерний москва"", ""главный"", ""главный новость"", ""метро""]"
Stable,148,220,0.7423549890518188,0.05263157894736842,"[""аварийный"", ""дом"", ""жилец"", ""логвиненко"", ""манёвренный""]","[""зритель"", ""канал"", ""ленинградский"", ""ленинградский область"", ""обрушение""]"
Stable,112,227,0.8385277986526489,0.05263157894736842,"[""военный суд"", ""год колония"", ""колония"", ""лишение"", ""лишение свобода""]","[""денис"", ""евдокимов"", ""жёсткий посадка"", ""командир"", ""посадка""]"
Stable,100,229,0.853968620300293,0.05263157894736842,"[""весна"", ""вещь"", ""гардероб"", ""мода"", ""модный""]","[""бренд"", ""бутик"", ""ворошиловский"", ""выгодно"", ""коллекция""]"
Stable,66,231,0.763911247253418,0.05263157894736842,"[""конференция"", ""конференция украина"", ""мирный"", ""переговоры"", ""саммит""]","[""африка"", ""африканский"", ""мирный"", ""миссия"", ""посланник""]"
Stable,117,232,0.8538967967033386,0.0,"[""выращивание"", ""дача"", ""дачник"", ""огород"", ""посадка""]","[""возить"", ""вырастить"", ""каждый неделя"", ""клубника"", ""литр""]"
Split,"[13, 48, 138]",35,0.9221022129058838,0.25,"[""белоус"", ""белоусов"", ""должность"", ""кандидатура"", ""министр""]","[""выборы"", ""глава"", ""губернатор"", ""должность"", ""забайкалье""]"
Split,"[23, 86, 88, 231, 239]",22,0.9617587327957153,0.3333333333333333,"[""дело теракт"", ""крокус"", ""крокус сити"", ""сити холл"", ""теракт""]","[""задержать"", ""подозревать"", ""покушение"", ""приднестровье"", ""сбу""]"
Split,"[24, 93]",46,0.9506839513778687,0.25,"[""валиев"", ""игра"", ""мокнуть"", ""нейтральный"", ""олимпиада""]","[""допуск"", ""международный"", ""нейтральный"", ""олимпийский"", ""соревнование""]"
Split,"[25, 61, 236, 242]",15,0.9732240438461304,0.5384615384615384,"[""актриса"", ""запретить"", ""знаменитость"", ""наряд"", ""откровенный""]","[""актриса"", ""артистка"", ""брак"", ""звезда"", ""муж""]"
Split,"[27, 121]",57,0.7727569341659546,0.05263157894736842,"[""боевик"", ""дагестан"", ""дербент"", ""контртеррористический"", ""контртеррористический операция""]","[""вагнер"", ""воронежский"", ""воронежский область"", ""контртеррористический"", ""контртеррористический операция""]"
Split,"[32, 83, 89]",29,0.955642580986023,0.17647058823529413,"[""белгородский"", ""белгородский область"", ""беспилотник"", ""минобороны"", ""пво""]","[""всу"", ""гаубица"", ""днр"", ""донецкий"", ""купянск""]"
Split,"[41, 124]",32,0.9406317472457886,0.25,"[""запуск"", ""корабль"", ""космический"", ""космодром"", ""луна""]","[""дмитрий петелин"", ""кикина"", ""корабль"", ""космический"", ""космонавт""]"
Split,"[45, 78, 95, 104, 122, 133, 149, 160, 174, 184, 245]",1,0.9246158599853516,0.6666666666666666,"[""градус"", ""минус"", ""москва"", ""норма"", ""ожидаться""]","[""ветер"", ""воздух"", ""градус"", ""дождь"", ""ожидаться""]"
Split,"[47, 92]",64,0.9777852892875671,0.25,"[""александр"", ""александр беглов"", ""беглов"", ""город"", ""губернатор""]","[""александр беглов"", ""беглов"", ""дайджест"", ""новость утро"", ""петербург""]"
Split,"[55, 159]",36,0.9544326663017273,0.25,"[""всу"", ""донецк"", ""лисичанск"", ""лнр"", ""луганск""]","[""всу"", ""днр"", ""донецк"", ""обстрел"", ""обстрелять""]"
Split,"[58, 102]",45,0.9234849810600281,0.1111111111111111,"[""граница"", ""граница россия"", ""латвия"", ""литва"", ""мид""]","[""варшава"", ""генконсульство"", ""дипломат"", ""дипломатический"", ""мид""]"
Split,"[62, 219]",44,0.9166936278343201,0.42857142857142855,"[""выплата"", ""индексация"", ""индексация пенсия"", ""пенсионер"", ""пенсионный""]","[""выплата"", ""капитал"", ""материнский"", ""материнский капитал"", ""пенсионер""]"
Split,"[66, 90, 108, 119, 206]",106,0.9463433027267456,0.6666666666666666,"[""конференция"", ""конференция украина"", ""мирный"", ""переговоры"", ""саммит""]","[""альянс"", ""генсек"", ""генсек нато"", ""йенс"", ""йенс столтенберг""]"
Split,"[71, 82, 202]",14,0.9603633284568787,0.5384615384615384,"[""антироссийский"", ""антироссийский санкция"", ""ввести"", ""евросоюз"", ""ограничение""]","[""ввести"", ""ввести санкция"", ""евросоюз"", ""пакет"", ""пакет санкция""]"
Split,"[72, 120]",155,0.9554482102394104,0.5384615384615384,"[""индивидуальный"", ""камера"", ""мобильность"", ""нарушение"", ""пдд""]","[""индивидуальный"", ""мобильность"", ""пдд"", ""передвижение"", ""правило""]"
Split,"[85, 169, 235]",39,0.9325377345085144,0.25,"[""алла"", ""алла пугачёв"", ""артист"", ""выступление"", ""киркоров""]","[""актёр"", ""артист"", ""васильев"", ""концерт"", ""меладзе""]"
Split,"[105, 192, 203, 204]",108,0.9489142894744873,0.3333333333333333,"[""атор"", ""бронирование"", ""отдых"", ""отель"", ""россиянин""]","[""авиабилет"", ""вырасти"", ""отдых"", ""перелёт"", ""россиянин""]"
Split,"[106, 210]",158,0.9316673278808594,0.3333333333333333,"[""валерий"", ""валерий залужный"", ""владимир зеленский"", ""главком"", ""главком всу""]","[""бункер"", ""владимир"", ""владимир зеленский"", ""зеленский"", ""зюганов""]"
Split,"[109, 135]",38,0.9239315986633301,0.17647058823529413,"[""баррель"", ""газ"", ""импорт"", ""миллион тонна"", ""нефть""]","[""баррель"", ""газ"", ""добыча"", ""европа"", ""нефтепродукт""]"
Split,"[111, 150]",116,0.8125191926956177,0.17647058823529413,"[""атака"", ""атака бпнуть"", ""бпнуть"", ""воронежский"", ""воронежский область""]","[""беспилотник"", ""беспилотник упасть"", ""бпнуть"", ""воронеж"", ""воронежский""]"
Split,"[134, 189]",42,0.9421328902244568,0.42857142857142855,"[""глава мид"", ""запад"", ""заявить лавров"", ""иностранный дело"", ""лавров""]","[""видео тасс"", ""глава мид"", ""иностранный дело"", ""лавров"", ""мид""]"
Split,"[136, 194, 218]",28,0.8865639567375183,0.1111111111111111,"[""patriot"", ""великобритания"", ""евро"", ""закупка"", ""киев""]","[""leopard"", ""германия"", ""немецкий"", ""передать"", ""польша""]"
Split,"[139, 165]",199,0.8464735150337219,0.17647058823529413,"[""больница"", ""выпасть"", ""выпасть окно"", ""девочка"", ""мальчик""]","[""аттракцион"", ""больница"", ""голова"", ""зажать"", ""мальчик""]"
Split,"[211, 246]",122,0.7978726625442505,0.05263157894736842,"[""бой"", ""бокс"", ""боксёрский"", ""вес"", ""волков""]","[""даниил"", ""корона"", ""матч"", ""медведев"", ""новак""]"
